CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
8896922,2019,2019-08-07,1304,2019-07-03,1414,327,EWEST,3,5,4,1304,0,0,0,,0,WEST,BRIGHTON,12TH,0.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,05,21650,1,N,B,G,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",32.789699554443359,-115.56500244140625,IMPERIAL,"EL CENTRO",-115.56549072265625,32.789760589599609
9164086,2020,2020-12-01,1304,2020-09-10,1122,337,E1,4,5,4,1304,0,0,0,,0,EAST,ADAMS,6TH,62.00,E,N,A,-,Y,IMP,11,86,-,L,7.760,H,-,N,N,3,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,A,0,,,,,Y,,D,22,0,1,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.55694580078125,32.796558380126953
9273981,2021,2021-07-01,1304,2021-06-05,1250,359,,6,5,4,1304,0,0,0,,0,,"DOGWOOD RD","WAKE AV",67.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.53521728515625,32.770832061767578
9571321,2023,2023-05-23,1304,2023-03-01,1123,391,EPTRL,3,5,4,1304,0,0,0,,0,WEST,IMPERIAL,OCOTILLO,223.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.56965637207031,32.777774810791016
9587657,2023,2023-06-07,1304,2023-05-05,1144,391,EPTRL,5,5,4,1304,0,0,0,,0,EAST,3RD,ROSS,37.00,N,N,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.55030822753906,32.781562805175781
9625176,2023,2023-10-02,1304,2023-08-10,1452,342,EPTRL,4,5,4,1304,0,0,0,,0,EAST,8TH,STATE,0.00,,Y,A,-,N,,,,,,,,,,Y,3,0,1,2,A,-,09,21802,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.56142425537109,32.791786193847656
9650101,2023,2024-02-20,1304,2023-12-07,"756 ",363,EPTRL,4,5,4,1304,0,0,0,,0,WEST,"8TH ST","HOLT AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,3,A,-,09,21802,A,N,D,C,A,A,H,-,A,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",32.787761688232422,-115.56143188476562,IMPERIAL,"EL CENTRO",-115.56135559082031,32.787792205810547
91167069,2020,2020-01-29,9625,2020-01-06,2124,018773,,1,2,9,1300,0,1,3,,2,053,"SR-111 SOUTHBOUND",SR-86,0.00,,Y,A,-,Y,,,111,,,,,,S,Y,1,1,4,2,A,-,09,21453,C,N,D,C,A,A,H,-,C,A,0,,,,,Y,,A,01,2,2,0,0,0,0,0,0,0,"- ","- ",32.730609893798828,-115.50054931640625,IMPERIAL,UNINCORPORATED,-115.50040435791016,32.730613708496094
91593137,2021,2021-10-11,9625,2021-10-03,1120,017727,,7,1,9,1300,0,1,3,,1,021,SR-111,"RUTHERFORD ROAD",0.00,,Y,A,-,Y,,,111,,,,,,,Y,2,0,4,2,A,-,09,21801,A,F,A,C,A,A,H,-,A,D,0,,,,,Y,,A,01,2,0,2,0,0,0,0,0,0,"- ","- ",33.044498443603516,-115.52729797363281,IMPERIAL,UNINCORPORATED,-115.52733612060547,33.044502258300781
91887769,2022,2022-10-11,9625,2022-10-07,1455,019225,,5,2,9,1300,0,1,3,,2,023,SR-115,"ALBRIGHT ROAD",0.00,,Y,A,-,Y,,,115,,,,,,,Y,4,0,1,2,A,-,05,21752,D,N,D,C,A,A,H,-,A,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.104621887207031,-115.44956970214844,IMPERIAL,UNINCORPORATED,-115.44966888427734,33.104618072509766
92157589,2023,2023-08-29,9620,2023-08-26,"750 ",018734,,6,1,9,1300,0,1,1,,2,081,"I-8 W/B","GORDONS WELL ROAD",13200.00,E,N,A,-,Y,,,8,,,,,,W,Y,4,0,1,2,A,-,08,22107,,N,F,0,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.717720031738281,-114.91825866699219,IMPERIAL,UNINCORPORATED,-114.91829681396484,32.717746734619141
92194759,2023,2023-10-09,9625,2023-09-28,2500,021232,,4,4,9,1300,0,1,1,,2,001,"INTERSTATE 8 (E/B)",SR-98,7920.00,W,N,A,-,Y,,,8,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,H,A,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.720138549804688,-116.04715728759766,IMPERIAL,UNINCORPORATED,-116.04712677001953,32.720069885253906
9612657,2023,2023-08-21,1304,2023-06-24,1400,338,EAST,6,5,4,1304,0,0,0,,0,EAST,"3RD ST","AURORA AV",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,12,22450,A,N,D,G,A,A,H,-,A,A,0,,Y,,,Y,,L,04,0,1,0,0,0,0,1,0,0,"- ","- ",35.778598785400391,-115.54886627197266,IMPERIAL,"EL CENTRO",-115.54888153076172,32.778602600097656
90685118,2018,2018-03-19,9625,2018-03-16,1738,019035,,5,2,9,1300,0,1,3,,2,053,"STATE ROUTE 111 SOUTHBOUND","HEBER ROAD",474.00,N,N,A,G,Y,,,111,,,,,,S,N,4,0,2,3,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,08,0,0,2,0,0,0,0,0,0,"- ","- ",32.734798431396484,-115.50050354003906,IMPERIAL,UNINCORPORATED,-115.50049591064453,32.734798431396484
90706613,2018,2018-04-16,9625,2018-04-14,0940,019035,,6,1,9,1300,0,1,3,,2,052,"STATE ROUTE 98 EASTBOUND","ANDERHOLT ROAD",1324.00,W,N,A,-,Y,,,98,,,,,,E,Y,4,0,1,1,A,-,08,22107,,N,F,A,A,A,H,-,A,D,0,,,,,Y,,-,98,0,0,1,0,0,0,0,0,0,"- ","- ",32.693698883056641,-115.41819763183594,IMPERIAL,UNINCORPORATED,-115.41819763183594,32.693824768066406
90746069,2018,2018-06-12,9625,2018-06-01,0635,017727,,5,1,9,1300,0,1,3,,2,024,SR-78,"GECKO PARK ROAD",2445.00,W,N,A,-,Y,,,78,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.973899841308594,-115.18219757080078,IMPERIAL,UNINCORPORATED,-115.18218231201172,32.973857879638672
90897803,2019,2019-01-14,9625,2019-01-03,1635,018773,,4,2,9,1300,0,3,5,,2,050,"HAWK STREET","DOGWOOD ROAD",10.00,E,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,21,22106,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",32.734870910644531,-115.53439331054688,IMPERIAL,UNINCORPORATED,-115.53450775146484,32.734821319580078
91004279,2019,2019-06-05,9625,2019-05-26,2500,013627,,7,4,9,1300,0,1,3,,2,056,"STATE ROUTE 115","EVAN HEWES HIGHWAY",0.00,,Y,A,-,Y,,,115,,,,,,,Y,4,0,1,1,A,-,03,22350,,N,E,I,A,A,H,-,D,A,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.805000305175781,-115.40609741210938,IMPERIAL,UNINCORPORATED,-115.40611267089844,32.805732727050781
91045706,2019,2019-08-05,9625,2019-03-01,1425,018279,,5,2,9,1300,0,3,5,,2,010,"LINDSEY RD","HATFIELD RD",1132.00,W,N,A,-,N,,,,,,,,,,Y,1,1,0,1,A,-,01,23152,G,N,F,A,A,A,H,-,A,D,0,,,,,Y,Y,D,22,0,0,0,0,0,0,0,0,0,"- ","- ",33.147518157958984,-115.59221649169922,IMPERIAL,UNINCORPORATED,-115.59212493896484,33.147563934326172
91414407,2021,2021-02-24,9625,2021-02-12,1725,018930,,5,2,9,1300,0,3,5,,2,050,"WARE ROAD","FAWCETT ROAD",290.00,S,N,A,-,N,,,,,,,,,,N,2,0,1,2,A,-,03,22350,,F,C,G,A,A,H,-,A,D,0,,Y,,,Y,,-,99,1,0,0,0,0,0,1,0,0,"- ","- ",32.721298217773438,-115.52559661865234,IMPERIAL,UNINCORPORATED,-115.52562713623047,32.722587585449219
91778408,2022,2022-05-23,9625,2022-05-14,2047,020516,,6,2,9,1300,0,1,3,,1,012,"SR-86 S/B","AIR PARK DRIVE",3991.00,S,N,A,-,Y,,,86,,,,,,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",33.242538452148438,-115.93707275390625,IMPERIAL,UNINCORPORATED,-115.93701934814453,33.242576599121094
92061684,2023,2023-05-04,9625,2023-04-26,1330,016248,,3,1,9,1300,0,3,5,,2,050,"ATEN ROAD","COOLEY ROAD",529.00,W,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.825580596923828,-115.52027893066406,IMPERIAL,UNINCORPORATED,-115.52025604248047,32.825538635253906
8803505,2019,2019-02-28,1301,2019-01-23,0736,901,,3,5,3,1301,0,0,0,,0,002,"S IMPERIAL AV","K ST",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,10,21950,A,N,G,B,B,A,H,-,A,D,0,Y,,,,Y,,D,22,0,1,0,0,1,0,0,0,0,"- ","- ",,,IMPERIAL,BRAWLEY,-115.53497314453125,32.973091125488281
8925287,2018,2019-08-29,1302,2018-07-14,0800,CX172,1302,6,5,4,1302,0,0,0,,0,CX1,"ANZA RD","POLE #42858D",129.00,S,N,A,-,N,,,,,,,,,,N,4,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,Y,,,Y,,L,04,0,0,1,0,0,0,1,0,0,"- ","- ",,,IMPERIAL,CALEXICO,,
9262114,2021,2021-05-06,1304,2021-04-23,0727,360,EEAS,5,5,4,1304,0,0,0,,0,,DOGWOOD,"MAIN ST",270.00,N,N,A,-,N,,,,,,,,,,N,3,0,2,2,A,-,09,21801,A,N,D,C,A,A,H,-,A,A,0,,,,,Y,,-,,0,2,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.53565216064453,32.792819976806641
9364417,2021,2021-12-02,1304,2021-10-26,0847,363,EWES,2,5,4,1304,0,0,0,,0,WEST,"N WATERMEN AV","N WATERMEN AV 2105",0.00,,Y,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,"- ",,,N,D,C,A,A,H,-,A,D,0,,,,,Y,,-,,0,1,0,0,0,0,0,0,0,"- ","- ",32.813018798828125,-115.57649230957031,IMPERIAL,"EL CENTRO",-115.57421875,32.8167724609375
90709009,2018,2018-04-19,9625,2018-04-17,1445,022010,,2,2,9,1300,0,2,4,,2,057,"EVAN HEWES HIGHWAY W/B","JAMES ROAD",1140.00,E,N,A,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.803459167480469,-115.46192932128906,IMPERIAL,UNINCORPORATED,-115.461669921875,32.803352355957031
90726033,2018,2018-05-14,9625,2018-05-03,1640,018464,,4,2,9,1300,0,2,4,,2,047,"FORRESTER ROAD","ROSS ROAD",20.00,N,N,A,-,N,,,,,,,,,,Y,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.781429290771484,-115.62065124511719,IMPERIAL,UNINCORPORATED,-115.62064361572266,32.781475067138672
92253123,2023,2023-12-05,9625,2023-11-22,1556,019582,,3,2,9,1300,0,1,1,,2,005,"INTERSTATE 8","VAN DER LINDEN ROAD",120.00,W,N,A,-,Y,,,8,,,,,,,Y,3,0,2,3,A,-,08,22107,,N,H,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",32.772968292236328,-115.28600311279297,IMPERIAL,UNINCORPORATED,-115.28600311279297,32.772930145263672
90827341,2018,2018-10-03,9625,2018-09-23,2015,022010,,7,2,9,1300,0,1,3,,2,053,"SR-111 S/B","ROSS AVENUE",4224.00,S,N,A,-,Y,,,111,,,,,,S,Y,4,0,1,2,A,-,07,21658,A,N,B,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.780040740966797,-115.50177001953125,IMPERIAL,UNINCORPORATED,-115.50145721435547,32.780052185058594
91070783,2019,2019-09-09,9625,2019-08-30,1458,020054,,5,2,9,1300,0,1,3,,1,012,"SR-86 N/B","TREADWELL BEND",2270.00,N,N,A,-,Y,,,,,,,,,,Y,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",33.332771301269531,-115.03398895263672,IMPERIAL,UNINCORPORATED,,
91304125,2020,2020-09-14,9625,2020-09-05,1330,019225,,6,1,9,1300,0,1,3,,1,054,"STATE ROUTE 111 S/B","ROSS ROAD",2640.00,N,N,A,-,Y,,,111,,,,,,S,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",32.787101745605469,-115.50080108642578,IMPERIAL,UNINCORPORATED,-115.50091552734375,32.787128448486328
91536540,2021,2021-08-04,9625,2021-07-26,2015,019667,,1,2,9,1300,0,1,3,,1,044,"SR-86 N/B","KEYSTONE ROAD",2300.00,N,N,A,-,Y,,,86,,,,,,N,N,3,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",32.919418334960938,-115.56996154785156,IMPERIAL,UNINCORPORATED,-115.57004547119141,32.919418334960938
91848607,2022,2022-08-25,9625,2022-08-23,"323 ",019668,,2,3,9,1300,0,1,3,,1,012,"SR-86 (N/B)","COOLIDGE SPRINGS ROAD",119.00,N,N,A,-,Y,,,86,,,,,,,Y,3,0,2,2,A,-,07,21658,A,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,2,0,0,0,0,0,0,0,"- ","- ",33.417438507080078,-116.04991149902344,IMPERIAL,UNINCORPORATED,-116.04991149902344,33.417438507080078
92248253,2023,2023-11-29,9625,2023-11-15,"555 ",018617,,3,3,9,1300,0,3,5,,2,040,"CLARK ROAD","ATEN ROAD",356.00,S,N,B,-,N,,,,,,,,,,Y,4,0,1,2,A,-,08,22107,,N,D,C,A,A,H,-,A,D,0,,,Y,,Y,,A,01,0,0,1,0,0,0,0,0,1,"- ","- ",32.824378967285156,-115.56156921386719,IMPERIAL,UNINCORPORATED,-115.56157684326172,32.824459075927734
8974426,2019,2020-11-02,1304,2019-09-12,2320,332,EWES,4,5,4,1304,0,0,0,,0,WEST,"IMPERIAL AV","BRADSHAW AV",500.00,N,N,A,-,Y,IMP,11,86,-,-,8.390,H,-,S,Y,2,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,A,0,,,,,Y,Y,A,01,1,0,0,0,0,0,0,0,0,"- ","- ",,,IMPERIAL,"EL CENTRO",-115.56992340087891,32.812427520751953
90781550,2018,2018-07-31,9620,2018-07-29,1913,020738,Quech,7,2,9,1300,0,3,5,,2,070,"ROSS ROAD","PICACHO RD",154.00,E,N,B,-,N,,,,,,,,,,Y,4,0,1,1,A,-,08,22107,,N,E,I,A,A,H,-,B,D,0,,,,,Y,,D,22,0,0,1,0,0,0,0,0,0,"- ","- ",32.78173828125,-114.61646270751953,IMPERIAL,UNINCORPORATED,-114.61600494384766,32.78192138671875
90968177,2019,2019-04-15,9625,2019-03-30,1600,018617,,6,2,9,1300,0,3,5,,2,010,"SERVICE RD.","MARINA DR.",200.00,W,N,A,-,N,,,,,,,,,,N,3,0,1,2,A,-,08,22107,,F,B,C,A,A,H,-,A,D,0,,Y,,,Y,,-,99,0,1,0,0,0,0,1,0,0,"- ","- ",33.280300140380859,-115.96559906005859,IMPERIAL,UNINCORPORATED,-115.98233795166016,33.302570343017578
91257406,2020,2020-06-25,9625,2020-06-20,0341,018468,,6,3,9,1300,0,1,1,,2,005,"INTERSTATE 8 (E/B)","STATE ROUTE 115",205.00,W,N,A,-,Y,,,8,,,,,,,Y,3,0,1,1,A,-,01,23152,A,N,E,I,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",32.772911071777344,-115.28630065917969,IMPERIAL,UNINCORPORATED,-115.28629302978516,32.772972106933594
