CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8896922,1,1,4,M,62,3,1,P,A,0,IMPERIAL,"EL CENTRO",2019
9164086,2,1,1,F,28,6,1,M,G,0,IMPERIAL,"EL CENTRO",2020
9273981,2,1,1,F,19,6,1,L,G,0,IMPERIAL,"EL CENTRO",2021
9571321,1,1,1,M,33,6,1,L,C,0,IMPERIAL,"EL CENTRO",2023
9587657,1,1,1,F,19,6,1,M,G,0,IMPERIAL,"EL CENTRO",2023
9625176,2,1,2,F,73,6,2,L,G,0,IMPERIAL,"EL CENTRO",2023
9650101,2,1,1,F,63,3,1,L,G,0,IMPERIAL,"EL CENTRO",2023
91167069,1,1,2,M,62,1,6,L,G,0,IMPERIAL,UNINCORPORATED,2020
91167069,1,2,2,M,2,5,4,L,T,1,IMPERIAL,UNINCORPORATED,2020
91167069,1,3,2,F,56,5,3,L,G,0,IMPERIAL,UNINCORPORATED,2020
91167069,1,4,1,F,27,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2020
91167069,2,1,1,F,32,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2020
91593137,1,1,2,M,38,5,6,P,G,0,IMPERIAL,UNINCORPORATED,2021
91593137,1,2,1,M,20,5,1,M,H,0,IMPERIAL,UNINCORPORATED,2021
91593137,2,1,1,M,46,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2021
91593137,2,2,2,M,42,7,3,L,H,0,IMPERIAL,UNINCORPORATED,2021
91887769,1,1,1,M,32,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2022
92157589,1,1,1,M,63,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2023
92194759,1,1,1,M,31,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2023
9612657,1,1,4,M,21,3,-,V,-,-,IMPERIAL,"EL CENTRO",2023
90685118,2,1,2,M,20,7,3,M,G,0,IMPERIAL,UNINCORPORATED,2018
90685118,2,2,2,M,17,7,4,P,G,0,IMPERIAL,UNINCORPORATED,2018
90706613,1,1,1,M,35,7,1,L,H,0,IMPERIAL,UNINCORPORATED,2018
90746069,1,1,1,M,20,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2018
90897803,2,1,2,F,54,6,3,M,G,0,IMPERIAL,UNINCORPORATED,2019
91004279,1,1,1,M,20,7,1,L,H,0,IMPERIAL,UNINCORPORATED,2019
91045706,1,1,1,M,30,1,1,M,G,1,IMPERIAL,UNINCORPORATED,2019
91414407,2,1,4,M,27,5,9,-,V,1,IMPERIAL,UNINCORPORATED,2021
91778408,1,1,1,M,26,7,1,M,G,0,IMPERIAL,UNINCORPORATED,2022
92061684,1,1,1,F,19,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2023
8803505,2,1,3,M,10,3,9,-,-,3,IMPERIAL,BRAWLEY,2019
8925287,1,1,4,M,63,4,1,M,G,3,IMPERIAL,CALEXICO,2018
9262114,1,1,1,M,18,3,1,L,G,0,IMPERIAL,"EL CENTRO",2021
9262114,2,1,1,M,51,3,1,L,H,0,IMPERIAL,"EL CENTRO",2021
9364417,2,1,1,F,66,3,1,M,G,0,IMPERIAL,"EL CENTRO",2021
90709009,1,1,1,M,29,7,1,L,G,0,IMPERIAL,UNINCORPORATED,2018
90726033,2,1,1,M,44,7,1,M,G,0,IMPERIAL,UNINCORPORATED,2018
92253123,1,1,1,F,24,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2023
92253123,3,1,1,M,21,6,1,L,G,0,IMPERIAL,UNINCORPORATED,2023
90827341,1,1,1,F,68,7,1,M,G,0,IMPERIAL,UNINCORPORATED,2018
