CASE_ID,PARTY_NUMBER,PARTY_TYPE,AT_FAULT,PARTY_SEX,PARTY_AGE,PARTY_SOBRIETY,PARTY_DRUG_PHYSICAL,DIR_OF_TRAVEL,PARTY_SAFETY_EQUIP_1,PARTY_SAFETY_EQUIP_2,FINAN_RESPONS,SP_INFO_1,SP_INFO_2,SP_INFO_3,OAF_VIOLATION_CODE,OAF_VIOL_CAT,OAF_VIOL_SECTION,OAF_VIOLATION_SUFFIX,OAF_1,OAF_2,PARTY_NUMBER_KILLED,PARTY_NUMBER_INJURED,MOVE_PRE_ACC,VEHICLE_YEAR,VEHICLE_MAKE,STWD_VEHICLE_TYPE,CHP_VEH_TYPE_TOWING,CHP_VEH_TYPE_TOWED,RACE,INATTENTION,SPECIAL_INFO_F,SPECIAL_INFO_G,ACCIDENT_YEAR
91266954,1,1,Y,M,41,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2009,FORD,D,22,,H,,-,-,2020
91266954,2,1,N,M,61,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2007,CHEV,D,22,,H,,-,-,2020
91175460,1,1,Y,M,64,B,-,N,M,G,Y,-,3,-,,31,22107,,A,-,0,1,M,2005,DODGE,D,22,,W,,-,-,2020
91032490,1,1,Y,M,41,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2007,NISSAN,D,22,,W,,-,-,2019
91032490,2,1,N,M,58,A,-,N,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2000,PTRB,F,27,,H,,-,-,2019
91024282,1,1,Y,M,32,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2011,HONDA,A,07,,A,,-,-,2019
91024282,2,1,N,F,29,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2011,SUBA,A,07,,W,,-,-,2019
91923663,1,1,N,M,27,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2005,TOYT,D,22,,W,,-,-,2022
91923663,2,1,N,F,29,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,1,A,2016,AUDI,A,01,,H,,-,-,2022
91923663,3,1,N,M,30,A,-,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,A,2002,FORD,D,22,,H,,-,-,2022
91923663,4,1,N,F,21,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2007,HOND,A,07,,W,,-,-,2022
91358301,1,1,N,M,90,A,F,N,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,C,2004,FORD,D,22,,W,,-,-,2020
9497761,1,1,N,F,24,H,H,W,L,G,Y,-,3,-,,25,22350,,A,-,0,1,B,2017,-,A,01,,W,,-,-,2022
9497761,2,1,N,F,70,H,H,S,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,E,2005,-,A,01,,W,,-,-,2022
9392546,1,1,Y,M,82,A,-,E,M,G,Y,-,3,-,-,"- ",,,N,-,0,0,B,2018,-,D,22,,W,,-,-,2021
9392546,2,2,N,M,53,A,-,-,-,-,O,-,3,-,-,"- ",,,N,-,0,1,-,,-,N,60,,W,,-,-,2021
9236729,1,1,Y,F,40,-,E,W,M,G,,-,3,-,,31,22107,,A,-,0,1,J,2020,-,A,01,,W,,-,-,2021
9236729,2,1,N,F,60,A,-,W,M,G,Y,-,3,-,-,"- ",,,N,-,0,2,B,2017,-,D,22,,W,,-,-,2021
9092856,1,1,Y,F,24,A,-,S,L,G,Y,-,3,-,-,"- ",,,N,-,0,0,L,2004,-,A,01,,A,,-,-,2020
9092856,2,1,N,F,52,A,-,W,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2017,-,A,01,,W,,-,-,2020
8736478,1,1,Y,F,71,A,-,E,L,G,Y,-,3,-,-,"- ",,,N,-,0,1,B,2009,HONDA,A,01,,W,,-,-,2018
