CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8688125,1,1,3,M,38,2,9,-,P,3,"SANTA BARBARA",LOMPOC,2018
8698483,1,1,2,M,11,4,3,G,-,0,"SANTA BARBARA",LOMPOC,2018
8698483,1,2,2,F,14,4,6,G,-,0,"SANTA BARBARA",LOMPOC,2018
8698483,1,3,1,F,45,4,1,G,-,0,"SANTA BARBARA",LOMPOC,2018
8744139,2,1,3,F,27,3,9,-,-,3,"SANTA BARBARA",SOLVANG,2018
8792890,2,1,3,M,19,6,0,P,-,0,"SANTA BARBARA","SANTA BARBARA",2019
8888297,1,1,1,F,29,6,1,L,G,0,"SANTA BARBARA","SANTA MARIA",2019
8888297,2,1,1,F,50,6,1,L,G,0,"SANTA BARBARA","SANTA MARIA",2019
9044784,1,1,1,M,28,4,1,L,G,0,"SANTA BARBARA","SANTA BARBARA",2020
9044784,2,1,1,F,50,4,1,L,G,0,"SANTA BARBARA","SANTA BARBARA",2020
9044784,2,2,2,F,46,4,2,L,G,0,"SANTA BARBARA","SANTA BARBARA",2020
92231303,2,1,1,M,71,7,1,M,G,0,"SANTA BARBARA",UNINCORPORATED,2023
92246624,1,1,1,M,39,7,1,M,G,0,"SANTA BARBARA",UNINCORPORATED,2023
91940323,2,1,1,F,52,7,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2022
91988542,2,1,1,F,64,7,1,L,G,0,"SANTA BARBARA",CARPINTERIA,2023
92046259,1,1,1,F,19,6,1,P,P,0,"SANTA BARBARA",UNINCORPORATED,2023
92138366,1,1,1,-,34,7,1,M,G,0,"SANTA BARBARA",UNINCORPORATED,2023
92196135,2,1,1,M,29,6,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2023
92224508,1,1,1,M,20,7,1,L,H,0,"SANTA BARBARA","SANTA MARIA",2023
91638285,1,1,1,M,27,7,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2021
91645219,1,1,1,M,20,7,1,L,G,0,"SANTA BARBARA","SANTA BARBARA",2021
91645219,2,1,1,F,69,6,1,M,G,0,"SANTA BARBARA","SANTA BARBARA",2021
91819591,1,1,1,M,73,6,1,L,G,0,"SANTA BARBARA","SANTA BARBARA",2022
91833200,2,1,2,F,22,6,3,L,G,0,"SANTA BARBARA","SANTA MARIA",2022
91833200,2,2,1,M,22,7,1,L,G,0,"SANTA BARBARA","SANTA MARIA",2022
91866370,2,1,1,M,23,7,1,M,G,0,"SANTA BARBARA",GOLETA,2022
91880212,3,1,1,M,24,7,1,M,G,0,"SANTA BARBARA",UNINCORPORATED,2022
91880212,3,2,2,F,24,7,3,M,G,0,"SANTA BARBARA",UNINCORPORATED,2022
91880212,3,3,2,F,24,7,6,P,G,0,"SANTA BARBARA",UNINCORPORATED,2022
90633920,1,1,1,F,26,7,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2018
90889415,1,1,1,F,20,7,1,L,G,0,"SANTA BARBARA","SANTA MARIA",2018
90964325,2,1,2,M,17,6,3,L,A,0,"SANTA BARBARA","SANTA BARBARA",2019
90964325,2,2,1,F,16,7,1,L,G,0,"SANTA BARBARA","SANTA BARBARA",2019
91149534,1,1,1,F,22,6,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2019
91149534,1,2,2,F,21,6,3,M,G,0,"SANTA BARBARA",UNINCORPORATED,2019
91165150,1,1,1,M,33,6,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2020
91579964,1,1,1,M,21,6,1,L,G,0,"SANTA BARBARA",UNINCORPORATED,2021
9310595,1,1,1,M,22,3,1,M,A,1,"SANTA BARBARA","SANTA BARBARA",2021
9430425,1,1,4,M,64,3,1,-,P,0,"SANTA BARBARA","SANTA BARBARA",2022
9636445,2,1,4,M,65,6,1,-,V,1,"SANTA BARBARA","SANTA BARBARA",2023
9646843,2,1,4,M,42,4,1,-,-,3,"SANTA BARBARA",LOMPOC,2023
81842143,1,1,2,M,7,6,6,M,A,0,"SANTA BARBARA","SANTA MARIA",2022
81842143,2,1,1,F,31,7,1,M,G,0,"SANTA BARBARA","SANTA MARIA",2022
81947802,1,1,2,F,20,7,3,L,G,0,"SANTA BARBARA","SANTA MARIA",2022
9109226,2,1,4,M,62,4,-,-,P,1,"SANTA BARBARA","SANTA BARBARA",2020
9196734,1,1,2,M,15,0,3,M,G,0,"SANTA BARBARA",SOLVANG,2020
9196734,1,2,1,F,74,6,1,L,G,0,"SANTA BARBARA",SOLVANG,2020
9196734,2,1,2,M,76,0,3,L,G,0,"SANTA BARBARA",SOLVANG,2020
9248013,1,1,1,M,30,4,1,L,G,0,"SANTA BARBARA","SANTA MARIA",2021
9248013,1,2,2,F,22,3,3,L,G,0,"SANTA BARBARA","SANTA MARIA",2021
9248013,2,1,1,M,19,3,1,L,G,0,"SANTA BARBARA","SANTA MARIA",2021
9268467,1,1,2,F,18,2,6,M,H,0,"SANTA BARBARA","SANTA BARBARA",2021
9268467,1,2,2,M,13,0,4,M,B,0,"SANTA BARBARA","SANTA BARBARA",2021
9268467,1,3,2,M,15,0,5,M,B,0,"SANTA BARBARA","SANTA BARBARA",2021
9271565,1,1,1,M,34,7,1,L,G,0,"SANTA BARBARA",BUELLTON,2021
9288548,2,1,3,M,39,4,-,P,-,-,"SANTA BARBARA","SANTA MARIA",2021
8709892,1,1,4,M,47,4,1,-,-,1,"SANTA BARBARA","SANTA MARIA",2018
8709892,2,1,2,F,2,0,4,M,Q,0,"SANTA BARBARA","SANTA MARIA",2018
8744057,2,1,1,M,21,4,1,M,G,0,"SANTA BARBARA",BUELLTON,2018
8744184,2,1,1,F,56,7,1,M,G,0,"SANTA BARBARA",GOLETA,2018
8809052,2,1,1,M,30,4,1,M,G,0,"SANTA BARBARA",GOLETA,2019
9072291,1,1,4,M,22,3,1,P,A,2,"SANTA BARBARA","SANTA MARIA",2020
9184762,1,1,2,F,36,0,3,M,G,0,"SANTA BARBARA","SANTA BARBARA",2020
9184762,2,1,4,M,25,3,1,-,P,0,"SANTA BARBARA","SANTA BARBARA",2020
