CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8605081,2,1,1,M,19,4,1,L,G,0,VENTURA,"SIMI VALLEY",2018
8605081,2,2,2,F,18,4,3,L,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,1,2,F,69,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,2,2,M,70,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,3,2,F,72,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,4,2,M,67,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,5,2,M,36,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,6,2,F,40,0,3,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,7,2,-,5,0,9,M,Q,0,VENTURA,"SIMI VALLEY",2018
8605081,3,8,2,F,66,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,9,2,F,998,0,9,M,Q,0,VENTURA,"SIMI VALLEY",2018
8605081,3,10,2,F,38,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8605081,3,11,2,M,5,0,9,M,G,0,VENTURA,"SIMI VALLEY",2018
8622503,2,1,1,M,71,3,1,L,G,3,VENTURA,"SIMI VALLEY",2018
8677525,1,1,4,M,50,3,1,P,V,2,VENTURA,OXNARD,2018
8682663,1,1,1,M,52,7,1,M,G,0,VENTURA,VENTURA,2018
8700280,1,1,1,M,31,4,1,M,G,0,VENTURA,"SIMI VALLEY",2018
8733762,1,1,2,M,59,0,3,M,G,0,VENTURA,CAMARILLO,2018
8733762,2,1,1,F,25,4,1,M,G,0,VENTURA,CAMARILLO,2018
92140513,2,1,1,F,29,7,1,M,G,0,VENTURA,UNINCORPORATED,2023
91667617,2,1,1,F,39,7,1,L,G,0,VENTURA,UNINCORPORATED,2021
91679194,1,1,2,M,19,6,6,P,G,0,VENTURA,UNINCORPORATED,2022
91679194,1,2,2,M,27,6,3,L,G,0,VENTURA,UNINCORPORATED,2022
91679194,1,3,1,M,24,5,1,L,G,0,VENTURA,UNINCORPORATED,2022
91756617,1,1,1,F,18,5,1,L,G,0,VENTURA,"SIMI VALLEY",2022
91756617,1,2,2,F,19,5,3,L,G,0,VENTURA,"SIMI VALLEY",2022
91756617,2,1,1,F,60,6,1,L,G,0,VENTURA,"SIMI VALLEY",2022
91756617,3,1,2,F,25,6,3,L,G,0,VENTURA,"SIMI VALLEY",2022
91800922,2,1,1,M,48,7,1,M,G,0,VENTURA,"THOUSAND OAKS",2022
91978787,1,1,1,M,18,6,1,L,G,0,VENTURA,MOORPARK,2023
92089561,1,1,1,F,32,7,1,M,G,0,VENTURA,MOORPARK,2023
90981394,1,1,2,M,20,6,3,L,G,0,VENTURA,UNINCORPORATED,2019
91006405,2,1,1,F,51,7,1,M,G,0,VENTURA,CAMARILLO,2019
91112795,1,1,1,M,19,6,1,L,G,0,VENTURA,UNINCORPORATED,2019
91132694,1,1,1,M,49,6,1,L,G,0,VENTURA,OXNARD,2019
91132694,2,1,1,M,31,6,1,L,G,0,VENTURA,OXNARD,2019
91348650,1,1,1,M,80,6,1,L,G,0,VENTURA,OXNARD,2020
91348650,1,2,2,F,73,6,3,L,G,0,VENTURA,OXNARD,2020
91593478,1,1,1,M,45,6,1,M,P,0,VENTURA,UNINCORPORATED,2021
81999566,2,1,2,-,34,7,4,M,G,0,VENTURA,"THOUSAND OAKS",2023
90670213,2,1,1,M,53,7,1,M,G,0,VENTURA,UNINCORPORATED,2018
90778874,2,1,1,F,25,7,1,M,G,0,VENTURA,"SANTA PAULA",2018
90863967,1,1,1,M,59,6,1,L,G,0,VENTURA,UNINCORPORATED,2018
90863967,3,1,1,F,44,5,1,L,G,0,VENTURA,UNINCORPORATED,2018
90863967,4,1,1,M,39,7,1,M,G,0,VENTURA,UNINCORPORATED,2018
90907329,1,1,1,M,66,6,1,M,G,0,VENTURA,OXNARD,2018
90942785,1,1,1,M,50,7,1,L,G,0,VENTURA,UNINCORPORATED,2019
90942785,2,1,1,F,41,7,1,M,G,0,VENTURA,UNINCORPORATED,2019
9657303,1,1,4,M,12,4,-,P,V,0,VENTURA,OXNARD,2023
81478510,1,1,1,F,18,7,1,L,G,0,VENTURA,"SIMI VALLEY",2021
