CASE_ID,PARTY_NUMBER,VICTIM_NUMBER,VICTIM_ROLE,VICTIM_SEX,VICTIM_AGE,VICTIM_DEGREE_OF_INJURY,VICTIM_SEATING_POSITION,VICTIM_SAFETY_EQUIP_1,VICTIM_SAFETY_EQUIP_2,VICTIM_EJECTED,COUNTY,CITY,ACCIDENT_YEAR
8583817,2,1,2,F,998,4,3,M,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8908283,1,1,2,F,30,4,3,M,G,0,"SAN LUIS OBISPO",ATASCADERO,2019
8908283,2,1,1,M,73,4,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2019
9384267,2,1,3,M,38,4,-,P,-,0,"SAN LUIS OBISPO","MORRO BAY",2021
82157958,1,1,1,M,32,1,1,P,-,1,"SAN LUIS OBISPO","PASO ROBLES",2023
90861088,1,1,1,F,35,7,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2018
90941377,1,1,1,M,60,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
90993073,2,1,1,F,74,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
90993073,3,1,2,F,9,6,7,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91091711,2,1,1,M,41,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91543941,1,1,1,F,26,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91645563,1,1,1,M,27,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2021
91908928,1,1,1,M,39,6,1,P,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
92108741,1,1,1,M,20,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
8167650,1,1,1,F,34,4,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
8167650,2,1,2,F,11,0,9,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
8167650,2,2,2,F,8,0,9,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
8167650,2,3,2,F,6,0,9,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
8167650,2,4,2,M,3,0,9,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2019
8736478,1,1,1,F,71,3,1,L,G,0,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
9092856,2,1,1,F,52,4,1,L,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2020
9236729,1,1,2,F,46,4,3,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
9236729,2,1,1,F,60,4,1,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
9236729,2,2,2,M,58,4,3,M,G,0,"SAN LUIS OBISPO","PASO ROBLES",2021
9392546,1,1,2,F,69,0,3,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2021
9392546,2,1,3,M,53,4,0,-,-,-,"SAN LUIS OBISPO","ARROYO GRANDE",2021
9497761,1,1,1,F,24,3,1,L,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
91358301,1,1,1,M,90,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91359235,2,1,2,M,32,6,3,M,H,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91923663,2,1,1,F,29,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91024282,2,1,1,F,29,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91032490,1,1,1,M,41,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91032490,2,1,1,M,58,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91175460,1,1,1,M,64,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91266954,2,1,1,M,61,7,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91292993,1,1,1,M,19,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
91319619,1,1,1,F,25,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2020
9535604,1,1,2,M,55,0,0,P,-,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9535604,1,2,2,M,17,3,3,L,C,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9535604,1,3,2,F,53,0,0,P,-,0,"SAN LUIS OBISPO","PISMO BEACH",2023
90767863,2,1,1,M,64,5,1,P,W,1,"SAN LUIS OBISPO",UNINCORPORATED,2018
90859112,1,1,1,M,32,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90877306,1,1,1,M,42,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90877306,1,2,2,F,45,7,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2018
90877306,2,1,1,M,18,1,1,P,W,1,"SAN LUIS OBISPO",UNINCORPORATED,2018
90926482,1,1,1,F,22,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2019
91008825,1,1,1,F,31,7,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2019
91008825,2,1,1,F,21,7,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2019
8560498,1,1,4,-,57,3,9,-,-,3,"SAN LUIS OBISPO","SAN LUIS OBISPO",2018
8740393,1,1,1,M,54,4,1,L,G,0,"SAN LUIS OBISPO","PASO ROBLES",2018
9205350,1,1,4,M,56,4,1,P,V,2,"SAN LUIS OBISPO","MORRO BAY",2020
9356315,1,1,2,F,998,0,4,M,Q,0,"SAN LUIS OBISPO","MORRO BAY",2021
9356315,1,2,2,F,23,0,3,L,G,0,"SAN LUIS OBISPO","MORRO BAY",2021
9356315,2,1,1,F,78,3,1,M,G,0,"SAN LUIS OBISPO","MORRO BAY",2021
9401400,1,1,2,M,14,0,4,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9401400,1,2,2,F,14,0,6,M,Q,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9401400,1,3,2,F,4,0,6,M,Q,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9401400,1,4,2,F,12,4,3,L,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9401400,1,5,1,F,42,3,1,L,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9401400,2,1,2,M,59,0,3,M,G,0,"SAN LUIS OBISPO","ARROYO GRANDE",2022
9602937,1,1,2,M,16,0,4,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9602937,1,2,2,F,18,0,3,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9602937,1,3,2,M,21,0,6,M,G,0,"SAN LUIS OBISPO","PISMO BEACH",2023
9602937,2,1,4,M,21,5,-,P,W,1,"SAN LUIS OBISPO","PISMO BEACH",2023
92116283,2,1,2,F,6,7,B,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
91778032,1,1,1,M,17,7,1,L,G,0,"SAN LUIS OBISPO",ATASCADERO,2022
91877175,1,1,1,F,59,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91877175,2,1,1,F,39,6,1,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91901287,2,1,1,F,23,7,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91945269,2,1,1,F,52,6,1,L,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2022
91973099,1,1,2,-,77,7,3,M,G,0,"SAN LUIS OBISPO",UNINCORPORATED,2023
